sample_id,problem,set_type,FAD_m3_h,FRP_m3_h,FVU_m3_h,TRP_s,TED_s,TPR_s,recovery,purity,productivity_mol_h_kg,energy_kJ_kgCO2,log_energy
13,purity_recovery,front,0.571621584,0.800991197,1.93470154,54.63784063,6.400751057,22.25936979,0.53491556,0.904467107,0.203610865,2360.024929,3.3729165904573772
63,purity_recovery,front,0.552386078,0.374652266,1.866137959,53.38153412,10.31607904,19.10335415,0.910077646,0.754251995,0.351435708,1171.821502,3.0688614627056974
115,purity_recovery,front,0.567633865,0.456041752,1.935412289,54.1978695,13.29330734,20.35947065,0.871377074,0.810285373,0.345313397,1237.220993,3.0924472804442265
186,purity_recovery,front,0.719017591,0.770700171,1.906581748,52.81727216,12.99235417,20.33822229,0.432273221,0.904949163,0.215764407,2218.680121,3.3460946921830503
227,purity_recovery,front,0.706609161,0.838764366,1.668560426,53.58442089,11.49005601,23.98277263,0.273012649,0.912736837,0.128097427,3410.457791,3.5328126789223724
293,purity_recovery,front,0.572809042,0.407146891,1.985410235,53.76814053,7.893475494,15.80574616,0.892657282,0.777894316,0.369851784,1228.858003,3.089501702189652
368,purity_recovery,front,0.627073418,0.61366156,1.951619018,52.10127039,12.09293468,21.16730853,0.7326414,0.864290673,0.31396449,1468.329161,3.166823423959902
376,purity_recovery,front,0.575126736,0.564252044,1.915113535,48.55434945,5.466908933,20.74962729,0.843278583,0.818431022,0.318422513,1446.368411,3.1602789281491255
425,purity_recovery,front,0.583185379,0.353009446,1.839264978,45.45823249,14.01521809,23.60738385,0.921325262,0.706963431,0.349525496,1098.178166,3.0406728048077216
466,purity_recovery,front,0.590590348,0.358886174,1.836806029,53.41393233,12.54161772,22.39428472,0.915522809,0.752114839,0.366807397,1095.228818,3.039504862567243
471,purity_recovery,front,0.591598032,0.385275175,1.895338202,36.65696003,8.874873994,22.40050216,0.924771286,0.657222593,0.333224264,1206.847481,3.081652388286717
544,purity_recovery,front,0.76992513,0.525773629,1.955333086,54.1617902,5.752706013,24.47938046,0.827030014,0.83971938,0.41079742,1217.348865,3.085415055167323
562,purity_recovery,front,0.70518648,0.490284697,1.910638758,52.51946166,7.522405732,24.96250776,0.862746055,0.81702941,0.390514206,1193.355897,3.076769983530315
563,purity_recovery,front,0.505014764,0.647525721,1.912522362,51.09316559,5.295668779,22.96395167,0.813754988,0.849203517,0.265378444,1706.857602,3.2321972907425978
624,purity_recovery,front,0.844083688,0.800147223,1.886167506,54.02267585,7.191633411,19.40167626,0.364508257,0.910428227,0.212305688,2474.276071,3.3934481550436564
818,purity_recovery,front,0.764540963,0.746620072,1.884776796,53.00399577,7.628448955,24.93796519,0.559669897,0.896001658,0.275518738,1799.360649,3.2551182184722642
823,purity_recovery,front,0.537536525,0.380371975,1.649274527,43.72355921,7.613026599,24.97585679,0.923758293,0.684594085,0.303553276,1208.955544,3.0824103311746978
829,purity_recovery,front,0.533885331,0.742917788,1.851622735,45.84759599,5.881167235,24.4255375,0.735700184,0.858955536,0.242450721,1844.084228,3.265780753442244
841,purity_recovery,front,0.793840524,0.578232949,1.92709929,53.69111476,6.92858641,24.71952572,0.761221289,0.858852852,0.390073318,1286.05959,3.10926109223408
845,purity_recovery,front,0.897793065,0.580199682,1.939459866,54.4721059,10.19467293,23.84371612,0.677604377,0.872061893,0.40390188,1282.954827,3.108211365081078
