sample_id,status,FAD_m3_h,FRP_m3_h,FVU_m3_h,TRP_s,TED_s,TPR_s,recovery,purity,productivity_mol_h_kg,energy_kJ_kgCO2
1,success,0.873412274,0.374877671,1.293857578,51.12015624,12.8814735,18.68666799,0.645745451,0.788917874,0.396702186,996.0670922
2,success,0.67536006,0.459778941,1.587490138,36.67542774,13.78883661,23.67440227,0.837164519,0.734256918,0.349721497,1074.021306
3,success,0.598354937,0.761447761,1.640332691,42.15596931,14.25625203,21.60116231,0.521248724,0.867062127,0.204948591,1913.871703
4,success,0.915699191,0.444193788,1.931746693,36.31738872,12.51134143,21.15010962,0.812143206,0.753251532,0.471553643,1027.233121
5,success,0.573243513,0.583128677,1.201601877,54.77211709,6.475781382,17.86971008,0.449410497,0.859893256,0.181233037,1871.413925
6,success,0.981193737,0.497666972,1.923301574,51.50499383,6.711009674,17.30834149,0.701819862,0.842669082,0.482361691,1150.235794
7,success,0.575440115,0.567286631,1.746817607,54.56535217,12.08499745,15.62301305,0.674481743,0.861000959,0.285726474,1488.394273
8,success,0.925598932,0.771299194,1.421704496,44.70234278,12.14445761,19.29446955,0.210694965,0.878230931,0.132312196,3219.484614
9,success,0.573495579,0.80696859,1.84398063,39.64675458,7.014818666,15.11518155,0.506284985,0.864474803,0.199294987,2299.451984
10,success,0.637917583,0.375440027,1.494590726,45.81760527,14.08213694,21.1264687,0.845939352,0.742955559,0.36252686,1003.537711
11,success,0.609058996,0.555765782,1.878248254,43.27609225,9.432788589,22.44318996,0.840009805,0.798783223,0.326079523,1338.811353
12,success,0.785862422,0.482771062,1.763859544,39.35225976,14.18075093,16.54714627,0.725641777,0.785148933,0.395851568,1117.903199
13,success,0.571621584,0.800991197,1.93470154,54.63784063,6.400751057,22.25936979,0.53491556,0.904467107,0.203610865,2360.024929
14,success,0.900631289,0.611648673,1.934092006,37.23591017,5.092939835,20.2953049,0.748713241,0.806923193,0.414184748,1267.570051
15,success,0.97634798,0.528934582,1.497517363,40.86128984,5.348377799,17.68293693,0.607942041,0.804475917,0.390109052,1203.300768
16,success,0.9629299,0.492396846,1.594598885,49.1272554,14.19499305,22.9520431,0.632437629,0.835337227,0.40618536,1121.693385
17,success,0.656995798,0.471586896,1.586954847,47.88895857,12.1281709,24.95709863,0.82292944,0.795785283,0.347016519,1123.170626
18,success,0.998928393,0.773880479,1.654979905,42.11093091,14.44845532,16.46135398,0.264475999,0.876965907,0.185958505,2571.583034
19,success,0.910959195,0.405540843,1.640923635,35.54372299,11.14665559,23.54875675,0.821777678,0.721954653,0.452208237,961.8312848
20,success,0.563881172,0.548135145,1.859892471,50.50932297,7.149421612,19.75938893,0.826501518,0.824875392,0.31542107,1413.365508
21,success,0.667117788,0.554613414,1.609899903,51.30400406,12.4091942,16.18319318,0.615140919,0.851644462,0.297383142,1400.050285
22,success,0.542906432,0.632558448,1.960307703,48.91154517,9.843433974,22.56330336,0.799871146,0.846691713,0.285127077,1571.576052
23,success,0.543018368,0.630794108,1.676210765,42.31845071,8.636785518,18.71397241,0.721239793,0.823408761,0.260302961,1562.328598
24,success,0.682560973,0.486873754,1.735938762,43.36009966,13.46396511,17.96084922,0.770428382,0.794655873,0.363102292,1160.356547
25,success,0.802341551,0.380738205,1.705954269,45.2517643,7.558186638,18.90255357,0.840751722,0.750884468,0.451424254,1006.259302
26,success,0.626894214,0.491054565,1.788486081,48.21643617,6.1559835,16.78151753,0.819527094,0.800694473,0.356758449,1265.075034
27,success,0.968451447,0.831817662,1.694162626,39.68459976,14.0455579,24.98584095,0.397465369,0.877554645,0.238764205,1946.059987
28,success,0.598163746,0.582545142,1.393547413,43.29408499,13.37708052,22.19346311,0.656126394,0.820615779,0.256285741,1361.425477
29,success,0.598800189,0.705387332,1.973007119,48.86416464,10.77428082,18.44254933,0.637634463,0.87673369,0.265015731,1774.89127
30,success,0.674083766,0.778414647,1.587659686,42.82032151,10.1869285,16.81104976,0.362924168,0.874854706,0.168784565,2463.836511
31,success,0.687438158,0.6582865,1.574178033,53.91328017,8.073322913,18.43805028,0.486743754,0.882013428,0.234357917,1834.676626
32,success,0.606437714,0.557795389,1.639646256,36.2268999,7.41347826,23.49282435,0.83602164,0.751862501,0.299496552,1321.334964
33,success,0.837890118,0.471160827,1.488538329,38.57382803,7.367203165,18.40633369,0.720257527,0.764033484,0.391545117,1088.929679
34,success,0.857783724,0.559538978,1.188215739,44.77834822,14.71089715,24.58138696,0.456369248,0.827819882,0.251724384,1413.116952
35,success,0.741445521,0.433672061,1.011690768,46.51848865,8.152065224,19.57895047,0.551362493,0.776731948,0.273535279,1172.018372
36,success,0.792918167,0.481040194,1.244261023,46.68260124,7.84444129,20.49931427,0.614212823,0.802953294,0.321649069,1169.079066
37,success,0.760379188,0.38178545,1.232855123,54.46226614,5.874411953,17.31335045,0.696491684,0.787515392,0.373958061,1021.627091
38,success,0.868814574,0.699687627,1.857651076,37.48798769,6.009826018,19.30589454,0.640491127,0.836163743,0.350234821,1453.440936
39,success,0.599205289,0.657295957,1.292828002,44.33341138,7.325768325,16.45682186,0.41596643,0.847481129,0.171778674,2066.637239
40,success,0.672973388,0.429989174,1.476589427,54.57989642,13.5605634,15.1218447,0.691698893,0.819449255,0.346185258,1130.497153
41,success,0.763369778,0.574732357,1.939871126,46.97261321,6.119942633,22.23031801,0.794355959,0.831653854,0.388413071,1283.25129
42,success,0.982858073,0.539138964,1.268782746,46.15596353,7.703283329,22.59568403,0.503289984,0.826382252,0.316665565,1307.562585
43,success,0.890276543,0.593490376,1.663167674,38.83183498,5.703780821,19.02365274,0.663001151,0.81228633,0.375841515,1271.145032
44,success,0.845323344,0.797419589,1.501460286,35.09064701,9.506101447,20.44897893,0.403596086,0.846753558,0.212564725,1973.284224
45,success,0.816921048,0.466440506,1.892427752,37.96474739,11.16764193,17.92264001,0.793939957,0.76518206,0.431858268,1094.292755
46,success,0.556704889,0.438113111,1.651169357,46.3400896,13.99696312,21.14644826,0.858678008,0.766765708,0.321667181,1161.464648
47,success,0.924727209,0.645456366,1.220570853,36.82693056,13.67056192,23.66274511,0.406863093,0.817107715,0.232807839,1577.911083
48,success,0.960935627,0.571070859,1.383151619,54.96665386,6.212721378,15.78049507,0.383520684,0.866333866,0.266232311,1722.576603
49,success,0.922148962,0.577411346,1.469641471,48.14125942,10.45320999,17.67263523,0.463317548,0.851272201,0.298288262,1492.122193
50,success,0.547151477,0.773104677,1.720702169,50.66672215,13.48278007,15.39015703,0.345871852,0.898093702,0.138697721,2977.073331
51,success,0.743207812,0.676390857,1.911649124,37.64657232,9.592788987,17.76091854,0.665452038,0.830831347,0.326627527,1468.194905
52,success,0.740424035,0.557028477,1.740109241,48.17187591,9.414783003,20.73778269,0.723182936,0.837200545,0.357758713,1266.61281
53,success,0.760585698,0.675420847,1.610510092,47.33867649,14.74400448,17.35938795,0.42192702,0.873596984,0.227898977,1864.822976
54,success,0.9651601,0.376543939,1.44389333,37.35667404,8.363941412,16.40962306,0.713654712,0.726865714,0.460610157,964.0638746
55,success,0.963696865,0.621027542,1.728351086,49.83171225,11.43035632,23.55429886,0.55892326,0.870325537,0.353542464,1385.803191
56,success,0.686500789,0.584961122,1.381296224,50.22773415,14.47083729,19.1332032,0.48661485,0.85622013,0.23428765,1580.523971
57,success,0.7912762,0.750243707,1.672979603,37.45232412,13.06639853,20.95808103,0.512765787,0.850829654,0.260598161,1655.402061
58,success,0.916048314,0.399749852,1.604165294,42.04692531,7.529162883,16.1218177,0.74465157,0.760153464,0.467766574,1005.656255
59,success,0.600440397,0.436122517,1.178342851,53.40912992,12.05061331,18.1745149,0.645913121,0.80713785,0.275848778,1174.421132
60,success,0.60052709,0.819791586,1.707905184,47.50288142,8.887868629,17.48799729,0.356345552,0.89472933,0.148432588,2926.440255
61,success,0.562668584,0.38081304,1.825784273,53.68551935,13.96956347,17.42895722,0.884093384,0.773780756,0.359451335,1125.520818
62,success,0.603509655,0.826755121,1.750873037,42.08980456,9.501593417,18.38256214,0.449861887,0.878647164,0.181903574,2388.424245
63,success,0.552386078,0.374652266,1.866137959,53.38153412,10.31607904,19.10335415,0.910077646,0.754251995,0.351435708,1171.821502
64,success,0.575548373,0.556424915,1.779594458,52.05102252,10.62975831,20.41217568,0.777444095,0.841417975,0.30673134,1386.232998
65,success,0.77727138,0.595938225,1.610039235,35.2692966,8.102694209,23.18765622,0.746927611,0.782963718,0.343784667,1230.553535
66,success,0.965704272,0.397086014,1.001692746,46.80556439,10.27853147,24.76189532,0.541957581,0.770103985,0.33171425,1054.758017
67,success,0.827934393,0.752344112,1.711310408,48.03254132,14.66424649,18.73194219,0.348662747,0.891248565,0.20197893,2262.007721
68,success,0.913852408,0.45467666,1.171083993,46.05450239,7.736764084,23.71662142,0.602620714,0.791466172,0.347314528,1090.599414
69,success,0.555418276,0.671595697,1.656048679,51.0474074,14.75527544,17.13102813,0.513921496,0.879199127,0.205809974,1924.75559
70,success,0.847328976,0.786147392,1.429388953,47.39903101,8.673145326,23.83017062,0.290457684,0.887104963,0.15694944,2667.331888
