basis_index,basis_label,target,coefficient_standardized,alpha,power_x1,power_x2,power_x3,power_x4,power_x5,power_x6,power_x7
0,1,purity_log_excess,-0.15776958835180518,1.0,0,0,0,0,0,0,0
0,1,recovery,-0.1125629487518271,1e-06,0,0,0,0,0,0,0
0,1,productivity_mol_kg_h,0.02641316442307471,0.1,0,0,0,0,0,0,0
0,1,log_energy,-0.04689743688823642,1.0,0,0,0,0,0,0,0
1,x1,purity_log_excess,-0.20898134982480612,1.0,1,0,0,0,0,0,0
1,x1,recovery,-0.032377488002863844,1e-06,1,0,0,0,0,0,0
1,x1,productivity_mol_kg_h,0.499469502952072,0.1,1,0,0,0,0,0,0
1,x1,log_energy,0.26237058088326515,1.0,1,0,0,0,0,0,0
2,x2,purity_log_excess,-0.2514419237022708,1.0,0,1,0,0,0,0,0
2,x2,recovery,0.0519892667253354,1e-06,0,1,0,0,0,0,0
2,x2,productivity_mol_kg_h,-0.013563059323182863,0.1,0,1,0,0,0,0,0
2,x2,log_energy,-0.07666628449190903,1.0,0,1,0,0,0,0,0
3,x3,purity_log_excess,-0.38555191984421594,1.0,0,0,1,0,0,0,0
3,x3,recovery,1.0100924003881857,1e-06,0,0,1,0,0,0,0
3,x3,productivity_mol_kg_h,0.602675815852975,0.1,0,0,1,0,0,0,0
3,x3,log_energy,-0.41067072112109443,1.0,0,0,1,0,0,0,0
4,x4,purity_log_excess,-0.31678644965547104,1.0,0,0,0,1,0,0,0
4,x4,recovery,-0.02236814801252657,1e-06,0,0,0,1,0,0,0
4,x4,productivity_mol_kg_h,0.5041099788397712,0.1,0,0,0,1,0,0,0
4,x4,log_energy,-0.02444385918168107,1.0,0,0,0,1,0,0,0
5,x5,purity_log_excess,-0.0732491207757667,1.0,0,0,0,0,1,0,0
5,x5,recovery,-0.026591323378155233,1e-06,0,0,0,0,1,0,0
5,x5,productivity_mol_kg_h,-0.009992951383823742,0.1,0,0,0,0,1,0,0
5,x5,log_energy,-0.09247789822820184,1.0,0,0,0,0,1,0,0
6,x6,purity_log_excess,0.01798210535509064,1.0,0,0,0,0,0,1,0
6,x6,recovery,0.017601189911272623,1e-06,0,0,0,0,0,1,0
6,x6,productivity_mol_kg_h,-0.009416746093884876,0.1,0,0,0,0,0,1,0
6,x6,log_energy,-0.008416781566316358,1.0,0,0,0,0,0,1,0
7,x7,purity_log_excess,0.017298631137941677,1.0,0,0,0,0,0,0,1
7,x7,recovery,-0.00041048591939393824,1e-06,0,0,0,0,0,0,1
7,x7,productivity_mol_kg_h,-0.01231982403729032,0.1,0,0,0,0,0,0,1
7,x7,log_energy,0.024482194633108124,1.0,0,0,0,0,0,0,1
8,x1^2,purity_log_excess,-0.000611413109407791,1.0,2,0,0,0,0,0,0
8,x1^2,recovery,0.006019096283280107,1e-06,2,0,0,0,0,0,0
8,x1^2,productivity_mol_kg_h,-0.0020179555969157487,0.1,2,0,0,0,0,0,0
8,x1^2,log_energy,-0.2262670601139144,1.0,2,0,0,0,0,0,0
9,x1*x2,purity_log_excess,-0.01429024156374049,1.0,1,1,0,0,0,0,0
